========================================
      HUFFMAN PREFIX CODE DICTIONARY    
========================================
Pixel Value | Generated Binary Code
------------|---------------------------
      0     | 010100001111111
      2     | 10110110111110
      3     | 0010000000110
      4     | 001000000010
      5     | 10010100101
      6     | 10110110110
      7     | 11011111010
      8     | 0010011011
      9     | 1001010011
     10     | 1111111001
     11     | 001001100
     12     | 100010100
     13     | 110110010
     14     | 00110000
     15     | 01010001
     16     | 11100100
     17     | 11101001
     18     | 0010100
     19     | 0100001
     20     | 0100011
     21     | 1011000
     22     | 1001101
     23     | 1100010
     24     | 1011001
     25     | 1100000
     26     | 1100011
     27     | 1001111
     28     | 0101100
     29     | 1000000
     30     | 0001110
     31     | 0001001
     32     | 11111010
     33     | 11010111
     34     | 11010101
     35     | 11010110
     36     | 11001111
     37     | 10110111
     38     | 01110000
     39     | 11001011
     40     | 10110101
     41     | 10001100
     42     | 11001101
     43     | 10001011
     44     | 11001010
     45     | 01100001
     46     | 10101111
     47     | 10101110
     48     | 10000100
     49     | 01111101
     50     | 00111111
     51     | 10000101
     52     | 11001110
     53     | 10010101
     54     | 01001000
     55     | 10111010
     56     | 10111110
     57     | 10100010
     58     | 11010100
     59     | 11011011
     60     | 11100011
     61     | 0000100
     62     | 0011001
     63     | 0111010
     64     | 0111111
     65     | 1001011
     66     | 1100001
     67     | 1010010
     68     | 1000100
     69     | 0100110
     70     | 0100101
     71     | 0110101
     72     | 0010111
     73     | 0010001
     74     | 0000000
     75     | 11100000
     76     | 11101000
     77     | 11101111
     78     | 11101100
     79     | 11100111
     80     | 11110000
     81     | 11101110
     82     | 11110010
     83     | 0000001
     84     | 11100101
     85     | 11101010
     86     | 11111011
     87     | 0001111
     88     | 0010010
     89     | 0001011
     90     | 0100000
     91     | 1010101
     92     | 1010110
     93     | 1010011
     94     | 1101000
     95     | 1011110
     96     | 1001110
     97     | 1001000
     98     | 1000011
     99     | 0110010
    100     | 0110011
    101     | 0101101
    102     | 0101011
    103     | 0011110
    104     | 0000101
    105     | 11110011
    106     | 11111101
    107     | 11111111
    108     | 11110101
    109     | 11101101
    110     | 0001101
    111     | 0000011
    112     | 0101010
    113     | 0011101
    114     | 0010101
    115     | 0011100
    116     | 0011011
    117     | 11110111
    118     | 11111000
    119     | 11110100
    120     | 0110001
    121     | 0000111
    122     | 0001000
    123     | 0001100
    124     | 0100111
    125     | 0110110
    126     | 0101111
    127     | 0110111
    128     | 1001100
    129     | 0111101
    130     | 1000001
    131     | 0111100
    132     | 1001001
    133     | 1010000
    134     | 1000111
    135     | 1011100
    136     | 1100100
    137     | 0111001
    138     | 0110100
    139     | 0101001
    140     | 0000010
    141     | 11011100
    142     | 11011101
    143     | 11010011
    144     | 11100010
    145     | 11011110
    146     | 11001100
    147     | 10100011
    148     | 01110001
    149     | 10001101
    150     | 01110111
    151     | 01011101
    152     | 01001001
    153     | 00110100
    154     | 00100001
    155     | 00110101
    156     | 00101101
    157     | 01111100
    158     | 01000101
    159     | 111101101
    160     | 111100010
    161     | 111000010
    162     | 110110011
    163     | 100101000
    164     | 101101000
    165     | 010111000
    166     | 010100000
    167     | 101010001
    168     | 101111110
    169     | 100010101
    170     | 101110110
    171     | 010111001
    172     | 011101101
    173     | 011101100
    174     | 101010011
    175     | 101111111
    176     | 101101001
    177     | 101110111
    178     | 110100100
    179     | 101010000
    180     | 110111111
    181     | 110110101
    182     | 111111101
    183     | 111001101
    184     | 111111000
    185     | 00010100
    186     | 111111001
    187     | 00001100
    188     | 111110011
    189     | 110100101
    190     | 110110100
    191     | 111101100
    192     | 110110000
    193     | 111000011
    194     | 111010111
    195     | 00100111
    196     | 00010101
    197     | 111010110
    198     | 111001100
    199     | 00110001
    200     | 00101100
    201     | 01100000
    202     | 00111110
    203     | 111100011
    204     | 01000100
    205     | 111110010
    206     | 00001101
    207     | 110110001
    208     | 101010010
    209     | 101101100
    210     | 001000001
    211     | 1111111000
    212     | 1101111100
    213     | 1011011010
    214     | 0101000010
    215     | 0010011010
    216     | 0010000001
    217     | 10010100100
    218     | 110111110111
    219     | 01010000110
    220     | 00100000000
    221     | 101101101110
    222     | 010100001110
    223     | 110111110110
    224     | 0010000000111
    225     | 1011011011110
    226     | 10110110111111
    227     | 01010000111100
    228     | 010100001111010
    229     | 010100001111011
    230     | 010100001111100
    231     | 0101000011111010
    232     | 010100001111110
    238     | 0101000011111011
